handle,functional_role,involvement,is_known,archetype,note
x_wholesaler,coordinator,criminal,false,оптовый поставщик,принимает оплату за товар от ячеек и региональных координаторов; платит бенефициару и логистике; даёт координаторам займы которые возвращаются; выводит через P2P
x_p2p_trader_1,transit,criminal,false,свой обменник сети,P2P-трейдер USDT который сознательно обслуживает сеть; быстрый оборот; платит продавцам USDT и выводит тенге жене бенефициара; есть и легальные клиенты
x_p2p_trader_2,transit,legit,false,P2P-мерчант,обычный P2P-трейдер USDT с десятками легальных клиентов (веер 60+ получателей); сеть пользуется им как все и он не в курсе
c4_boss_serik,terminal,criminal,false,бенефициар оптовика,кошелёк организатора: получает крупные суммы от оптовика; тратит на авто через брата и недвижимость через жену; помогает матери
c4_boss_wife_dana,terminal,criminal,false,жена-номинал,оформляет квартиру на себя: получает от мужа и P2P-трейдера и платит застройщику 12 млн в другой банк
c4_boss_brother_arman,transit,criminal,false,брат-покупатель авто,получает 6.5 млн от брата и на следующий день платит перекупу за машину
c4_boss_mother_gulnar,peripheral,legit,false,мать бенефициара,пенсионерка; получает помощь от сыновей; аптека и продукты
c4_realtor_zarina,peripheral,legit,false,риелтор,получает комиссию от жены бенефициара и от обычных клиентов
c4_coord_ruslan,coordinator,criminal,false,региональный координатор (север),собирает выручку двух дилеров и курьера; платит оптовику напрямую и через дропа; берёт и возвращает займы оптовика; связан с южным координатором
c4_coord_bekzat,coordinator,criminal,false,региональный координатор (юг),собирает выручку двух дилеров и водителей; платит оптовику; выводит через дропа в P2P; займ оптовика; покупает машину
c4_dealer_zhanat,consolidator,criminal,false,мелкооптовый дилер,собирает оплату от операторов телеграм-магазина и покупателей; сдаёт северному координатору
c4_dealer_olzhas,consolidator,criminal,false,мелкооптовый дилер,собирает выручку от оператора магазина; сдаёт северному координатору и частично дропу
c4_dealer_marat,consolidator,criminal,false,мелкооптовый дилер,собирает выручку от южного оператора; сдаёт южному координатору; часть меняет в USDT
c4_dealer_yerlan,consolidator,criminal,false,мелкооптовый дилер,собирает выручку от южного оператора; сдаёт южному координатору
c4_drop_aigerim,transit,criminal,false,дроп-студентка,получает от северного координатора и на следующий день переводит оптовику за вычетом комиссии
c4_drop_dauren,transit,criminal,false,дроп,получает от южного координатора и за 1 день переводит в P2P-обменник сети
c4_logist_timur,distributor,criminal,false,начальник логистики,получает от оптовика и раздаёт водителям-перевозчикам; аренда газелей; топливо; ремонт
c4_driver_askar,peripheral,criminal,true,водитель-перевозчик,возит партии на юг; получает от логиста; сдаёт наличную выручку южному координатору; семья и быт
c4_driver_nurbol,peripheral,criminal,true,водитель-перевозчик,возит партии на север; сдаёт наличку северному координатору; мать и быт
c4_driver_kanat,peripheral,criminal,true,водитель-перевозчик,получает от логиста; возвращает остаток на топливо; быт; немного USDT
c4_driver_samat,peripheral,criminal,true,водитель-перевозчик,подрабатывает в такси; сдаёт наличку южному координатору
c4_driver_ilyas,peripheral,criminal,true,водитель-перевозчик,только получает от логиста; исходящие мелкие или в другой банк (seed без рёбер)
c4_askar_wife_aliya,peripheral,legit,false,жена водителя,воспитатель детсада; продукты и кружки детям
c4_nurbol_mother_raushan,peripheral,legit,false,мать водителя,пенсионерка; коммуналка и аптека
c4_ruslan_wife_kamila,peripheral,legit,false,жена координатора,домохозяйка; тратит деньги мужа на быт и мебель; не в курсе
c4_mechanic_bolat,consolidator,legit,false,СТО,легальный автосервис: собирает оплату от многих клиентов включая водителей сети; платит аренду бокса и запчасти
c4_mechanic_helper_erzhan,peripheral,legit,false,работник СТО,получает зарплату от автомеханика
c4_stash_yulia,peripheral,criminal,false,хранительница склада,получает от оптовика на аренду квартиры-склада и платит арендодателю
c4_trader1_vadim,transit,criminal,false,вторая карта трейдера,партнёр трейдера 1: получает крупные суммы и раздаёт продавцам USDT
c4_trader2_elena,peripheral,legit,false,жена трейдера,получает от мужа на хозяйство; иногда возвращает
c4_client_aizhan,peripheral,legit,false,фрилансер,продаёт USDT (оплата от зарубежных заказчиков) обоим трейдерам; аренда и быт
c4_client_miras,peripheral,legit,false,IT-специалист,получает зарплату в USDT и продаёт трейдерам; ипотека в другом банке
c4_client_erbol,peripheral,legit,false,инженер-инвестор,зарплата на карту; покупает USDT у обоих трейдеров
c4_client_saule,consolidator,legit,false,ИП импорт из Китая,собирает оплату от покупателей и покупает USDT для оплаты поставщику
c4_client_temirlan,peripheral,legit,false,студент,мелкие покупки USDT на деньги от отца
c4_client_gaukhar,peripheral,legit,false,жена работника за рубежом,продаёт USDT присланные мужем; помогает матери
