handle,functional_role,involvement,is_known,archetype,note
c5_boss_ermek,coordinator,criminal,false,организатор ячейки,получает от кассы и от фиктивных сотрудников; докидывает агентству и премирует старшего; тратит на авто и той
c5_boss_wife_aigerim,terminal,criminal,false,кошелёк бенефициара,жена организатора; на неё сводят зарплаты мёртвых душ; покупки мебели и золота и депозит
c5_kassa_nurlan,consolidator,criminal,false,касса сети,собирает выручку с дроп-карт и сдачу закладчиков; платит оптовику и бухгалтеру-дропу
c5_buh_saule,transit,criminal,false,бухгалтер-дроп,получает от кассы и за 0-1 день перегоняет на счёт агентства оставляя около 1.5 процента
c5_agency_kadry,distributor,criminal,false,кадровое агентство-прокладка,ТОО на подставное лицо; веером платит зарплату курьерам и фиктивным и реальным сотрудникам 2-4 раза в месяц
c5_nominee_bolat,peripheral,criminal,false,подставной директор,номинальный директор агентства; получает фиксированные 70 тыс в месяц дважды
c5_senior_marat,distributor,criminal,false,старший курьер,получает крупные суммы от агентства и раздаёт своей шестёрке курьеров; получает премию от организатора
c5_wife_marat,peripheral,criminal,false,жена старшего курьера,получает часть денег мужа; быт и мебель
c5_zak_ruslan,peripheral,criminal,true,закладчик,получает зарплату от агентства; аренда и мать; вернул излишек агентству
c5_zak_aidos,peripheral,criminal,true,закладчик,получает от агентства; передаёт часть другу-курьеру Ерлану; девушка и телефон
c5_zak_miras,peripheral,criminal,true,закладчик,получает от агентства и сдаёт наличную выручку клиентов в кассу
c5_zak_dias,peripheral,criminal,true,закладчик,получает от агентства; помогает матери
c5_zak_arman,peripheral,criminal,true,закладчик,получает от агентства; дважды вернул переплату агентству; покупает USDT
c5_zak_temirlan,peripheral,criminal,true,закладчик,получает от агентства; помогает брату
c5_kur_alibek,peripheral,criminal,true,курьер,получает от агентства; аренда и переводы жене
c5_kur_sanzhar,peripheral,criminal,true,курьер,получает от агентства и сдаёт выручку в кассу
c5_kur_bekzat,peripheral,criminal,true,курьер,получает от агентства; исходящие только мелкие и межбанк матери
c5_zak_madina,peripheral,criminal,true,закладчица,получает от агентства; аренда и мать; одалживает подруге-закладчице
c5_zak_kamila,peripheral,criminal,true,закладчица,получает от агентства; мелкие траты и подруга
c5_kur_nursultan,peripheral,criminal,true,курьер,получает от агентства; мать и аренда; вернул излишек
c5_zak_islam,peripheral,criminal,true,закладчик,получает от старшего курьера (не из веера); сдаёт выручку в кассу
c5_zak_ayan,peripheral,criminal,true,закладчик,получает от старшего курьера; исходящих ≥5000 внутри банка нет
c5_kur_daniyar,peripheral,criminal,true,курьер,получает от старшего курьера; только получатель
