handle,functional_role,involvement,is_known,archetype,note
c6_seed_dana,peripheral,criminal,true,студентка-дроп,даёт карту в пользование: принимает оплаты от покупателей и раз в неделю сбрасывает Ерлану; в остальном аренда в складчину и деньги от отца
c6_seed_erbol,peripheral,criminal,true,студент-дроп,продал доступ к карте; входящие от покупателей уходят Ерлану; стипендиальная мелочь
c6_seed_timur,peripheral,criminal,true,грузчик,работает в бригаде Марата; по пятницам переводит знакомому Руслану выручку за клады
c6_seed_nurlan,peripheral,criminal,true,курьер доставки,подрабатывает закладчиком; дважды сдал деньги через Руслана; делит бензин с напарником Бекой
c6_seed_bakyt,peripheral,legit,true,таксист,в списке по ошибке — возил курьеров как пассажиров; аренда машины в таксопарке и семья
c6_seed_gulnara,peripheral,legit,true,продавщица продуктового,обычная жизнь: мама бабушка сестра взнос на той двоюродного брата
c6_seed_daulet,peripheral,criminal,true,грузчик,рабочий у бригадира Марата; эпизодически делал закладки за наличные; безналичные переводы только семейные
c6_seed_zhanna,peripheral,legit,true,медсестра,в июле только мелочь и переводы на свою карту другого банка — в выгрузке без рёбер
c6_seed_arman,peripheral,criminal,true,таксист,возил закладчиков; в июле только получает долг от Бакыта; свои крупные переводы в июне и августе
c6_seed_kamila,peripheral,criminal,true,продавщица на рынке,дроп: всё полученное сбрасывает на карту другого банка — в выгрузке без рёбер
c6_seed_madina,peripheral,legit,true,студентка,соседка Даны по квартире; аренда кафе на день рождения курсы
c6_seed_askar,peripheral,criminal,true,грузчик,в бригаде Марата; исходящие только мелкие и межбанк — в выгрузке только получатель
c6_seed_aliya,peripheral,legit,true,кассир,сестра Гульнары; аренда мама взнос на той
c6_seed_sanzhar,peripheral,criminal,true,таксист,возил курьеров и однажды сдал выручку Бекзату напрямую; остальное — аренда машины и мама
c6_tr_ruslan,transit,criminal,false,знакомый-транзитёр,принимает от Тимура и Нурлана и за 0–1 день переправляет Бекзату; оставляет себе 5–10%
c6_cr_bekzat,consolidator,criminal,false,сборщик выручки,собирает с транзитёра курьеров и таксиста; сдаёт куратору и меняет в USDT у P2P
c6_cr_beka,peripheral,criminal,false,курьер-закладчик,напарник Нурлана; изредка сдаёт Бекзату
c6_tr_erlan,transit,criminal,false,транзитёр дропов,принимает с карт студентов и в тот же день покупает USDT у P2P-трейдера
c6_cr_kurator,coordinator,criminal,false,куратор,получает от сборщика и транзитёра; платит зарплаты Руслану Ерлану и курьеру; выводит бенефициару и в USDT
c6_cr_boss_wallet,terminal,criminal,false,кошелёк бенефициара,деньги оседают: мебель предоплата за машину помощь сестре
c6_cr_boss_sister,peripheral,legit,false,сестра бенефициара,получает помощь на ребёнка и не знает откуда деньги
c6_ruslan_mama,peripheral,legit,false,мать транзитёра,получает деньги от сына
c6_erlan_girl_diana,peripheral,legit,false,девушка транзитёра,подарки от парня
c6_room_tomiris,transit,legit,false,соседка-съёмщица,собирает доли аренды с Даны и Мадины и платит хозяйке — легальный пропускной счёт
c6_dana_friend_saya,peripheral,legit,false,подруга Даны,получила подарки на день рождения
c6_bakyt_wife_ainur,peripheral,legit,false,жена таксиста,хозяйство дети
c6_bakyt_mama,peripheral,legit,false,мать таксиста,получает помощь от сына и невестки
c6_bakyt_friend_nurzhan,peripheral,legit,false,друг таксиста,занял 50000 на ремонт машины и вернул частями
c6_ainur_sister_gulmira,peripheral,legit,false,сестра жены таксиста,получила помощь
c6_sanzhar_mama,peripheral,legit,false,мать таксиста,получает помощь от сына
c6_timur_mama,peripheral,legit,false,мать грузчика,получает помощь от сына
c6_timur_sister_malika,peripheral,legit,false,сестра грузчика,получила деньги от мамы
c6_nurlan_girl_aida,peripheral,legit,false,девушка курьера,подарки и совместные траты
c6_gul_colleague_zarina,peripheral,legit,false,коллега Гульнары,заняла 40000 и вернула
c6_erbol_bro_ansar,peripheral,legit,false,младший брат студента,карманные деньги
c6_fam_ajee,terminal,legit,false,бабушка-общак,дети и внуки каждый месяц скидываются ей; деньги лежат — тратит только мелочь в аптеке и магазине
c6_fam_aigul,peripheral,legit,false,мать Гульнары и Алии,дочь бабушки; взнос на той сестре; помогает тёте
c6_fam_kanat,peripheral,legit,false,муж Айгуль,даёт жене на хозяйство; взнос на той; корпоратив в кафе
c6_fam_erzhan,peripheral,legit,false,отец Даны,сын бабушки; содержит дочь-студентку; займы с братом туда-обратно
c6_fam_saltanat,peripheral,legit,false,жена Ержана,хозяйство взнос на той
c6_fam_nurbol,peripheral,legit,false,отец Даулета,сын бабушки; займ брату; возврат долга Кайрату
c6_fam_gaukhar,peripheral,legit,false,жена Нурбола,хозяйство курсы дочери
c6_fam_zhanar,consolidator,legit,false,организатор тоя,собирает взносы с 18 родственников на свадьбу сына и платит тойхане тамаде сватам — легальный сборщик
c6_fam_bolat,peripheral,legit,false,муж Жанар,переводит накопления с депозита на свадьбу сына
c6_fam_miras,peripheral,legit,false,жених,сын Жанар; сам вкладывается в той; мальчишник в кафе
c6_fam_asel,peripheral,legit,false,сестра Даулета,взнос на той бабушке
c6_fam_nursultan,peripheral,legit,false,брат Даны,работает; скидывается на подарок маме; взнос на той
c6_fam_kairat,peripheral,legit,false,племянник бабушки,получил возврат долга от Нурбола; взнос на той
c6_fam_klara,peripheral,legit,false,сестра бабушки,взнос на той и бабушке
c6_fam_dias,peripheral,legit,false,двоюродный брат Даулета,взнос на той
