handle,functional_role,involvement,is_known,archetype,note
c3_klad_arman,peripheral,criminal,true,закладчик,принимает оплату от покупателей и раз в неделю сливает выручку на первый слой дроп-карт; зарплату получает с кассы
c3_klad_madi,peripheral,criminal,true,закладчик,сдаёт выручку на дроп-карты первого слоя; бытовые траты и долг другу
c3_klad_erlan,peripheral,criminal,true,закладчик,сдаёт выручку на дропов; сам снимает квартиру
c3_kurier_timur,peripheral,criminal,true,курьер-перевозчик,возит опт; крупные сливы на дропов и один раз напрямую сборщику в обход слоёв
c3_klad_sanzhar,peripheral,criminal,true,закладчик,мелкий закладчик; сливы небольшими суммами на дропов
c3_klad_aibek,peripheral,criminal,true,закладчик-новичок,только получает зарплату с кассы; исходящие все ниже 5000 или межбанк
c3_klad_nurlan,peripheral,criminal,true,закладчик,получает зарплату с кассы и отправляет матери в другой банк; в выгрузке только получатель
c3_klad_dauren,peripheral,criminal,true,закладчик,получает зарплату с кассы; исходящие только мелкие
c3_klad_yerbol,peripheral,criminal,true,закладчик,сливы на дропов и помощь матери
c3_klad_askar,peripheral,criminal,true,старший закладчик,сливы на дропов и иногда прямо на второй слой; платит аренду квартиры
c3_kurier_ruslan,peripheral,criminal,true,курьер,оплату получает наличными; по счёту видны только семья и покупка машины
c3_drop_zhanna,transit,criminal,true,дроп (безработная),карта арендована; принимает от закладчиков и пересылает на второй слой за вычетом 2-3 процентов
c3_drop_aruzhan,transit,criminal,false,дроп (студентка),первый слой: принимает от закладчиков и за 0-1 день пересылает дальше минус комиссия; живёт на деньги мамы
c3_drop_beka,transit,criminal,false,дроп (безработный),первый слой транзита; ставки на спорт и ремонт машины
c3_drop_dana,transit,criminal,false,дроп (студентка),первый слой; однажды держала деньги 3 дня; снимает комнату
c3_drop_samat,transit,criminal,false,дроп (курьер доставки),первый слой транзита; параллельно легально работает курьером доставки и получает от ИП зарплату
c3_drop_nazerke,transit,criminal,false,дроп (студентка),первый слой; с комиссий купила телефон; снимает комнату
c3_drop_zhanibek,transit,criminal,false,дроп (студент),первый слой транзита
c3_drop_ilya,transit,criminal,false,дроп (безработный),второй слой; иногда отдаёт сразу сборщику
c3_drop_moldir,transit,criminal,false,дроп (студентка),второй слой транзита; сестра переводит легальные деньги
c3_drop_askhat,transit,criminal,false,дроп (курьер доставки),второй слой; легальная зарплата от ИП доставки маскирует транзит
c3_drop_tomiris,transit,criminal,false,дроп (студентка),второй слой транзита
c3_drop_kanat,transit,criminal,false,дроп (безработный),второй слой; один раз прогнал через карту другого банка; игрок в букмекерах
c3_drop_vlad,transit,criminal,false,дроп (студент),третий слой; отдаёт сборщикам или на четвёртый слой
c3_drop_saule,transit,criminal,false,дроп (безработная мать),третий слой; платит аренду квартиры
c3_drop_ersultan,transit,criminal,false,дроп (студент),третий слой; через него идут крупные суммы
c3_drop_gulnaz,transit,criminal,false,дроп (безработная),третий слой; сливает на обоих сборщиков
c3_drop_miras,transit,criminal,false,дроп (студент),четвёртый слой; однажды затормозил на 6 дней и часть потратил; вернул штраф вербовщику
c3_drop_dilnaz,peripheral,criminal,false,дроп-новичок,только что завербована; получила подъёмные и ещё ничего не прогоняла
c3_sbor_bolat,consolidator,criminal,false,финальный сборщик,копит от дропов последнего слоя и курьера; крупно отдаёт боссу на свой депозит в P2P и межбанком
c3_sbor_kamila,consolidator,criminal,false,второй сборщик (девушка босса),собирает с части третьего слоя и переводит боссу и P2P-трейдеру
c3_boss_kairat,coordinator,criminal,false,организатор,получает со сборщиков; платит кассе и вербовщику; выводит через P2P и межбанк; покупает машину и мебель
c3_kassa_zp,distributor,criminal,false,касса зарплат,карта для еженедельной зарплаты закладчикам веером
c3_verbovshik_ilyas,coordinator,criminal,false,вербовщик дропов,платит дропам за аренду карт и бонусы; принимает штрафы; связывает дропов с боссом
c3_kairat_depozit,terminal,criminal,false,депозит босса,накопительный счёт; деньги остаются
c3_bolat_depozit,terminal,criminal,false,депозит сборщика,накопительный счёт сборщика; исходящих нет
c3_ip_zhanar_dostavka,distributor,legit,false,ИП доставка еды,получает выручку агрегатора и платит курьерам еженедельно веером; курьеры сдают наложенный платёж
c3_dostavshik_erbolat,peripheral,legit,false,курьер доставки,зарплата от ИП и аренда машины
