handle,functional_role,involvement,is_known,archetype,note
hub_grocery_1,consolidator,legit,false,продуктовый у дома,магазин Гульнары собирает оплату покупателей и платит поставщикам молока хлеба и напитков
hub_grocery_2,consolidator,legit,false,продуктовый у дома,магазин Бакыта в спальном районе; выручка уходит на мясо молочку и зарплату продавщицы
hub_grocery_3,consolidator,legit,false,продуктовый у дома,круглосуточный магазин Светланы; овощи берёт на рынке у точки Рустама
hub_grocery_4,consolidator,legit,false,продуктовый у дома,маленький магазин Нурлана возле школы; часть товара у оптовика
hub_bazaar_stall_1,consolidator,legit,false,точка на рынке (одежда),Зульфия продаёт одежду; платит карго из Китая и аренду места рынку
hub_bazaar_stall_2,consolidator,legit,false,точка на рынке (овощи),Рустам берёт овощи у фермеров и продаёт магазинам и кафе
hub_bazaar_stall_3,consolidator,legit,false,точка на рынке (телефоны б/у),Тимур скупает и перепродаёт б/у телефоны; иногда покупает у сомнительного Вадима не зная о краже
hub_cafe_1,consolidator,legit,false,кафе,семейное кафе Айдоса; повара и официанты получают зарплату два раза в месяц
hub_cafe_2,consolidator,legit,false,донерная,донерная Серика; мясо и лаваш у поставщиков; зарплата раз в неделю
hub_taxi_park,coordinator,legit,false,таксопарк,собирает аренду машин с водителей и раз в неделю выплачивает им выручку агрегатора; легальный двойник координатора
hub_landlord_1,consolidator,legit,false,арендодатель (пенсионер),Бахытжан-ага сдаёт несколько квартир и комнат многим жильцам; деньги уходят детям на кредит и ремонт
hub_landlord_2,terminal,legit,false,арендодатель (инвестор),Алмас сдаёт несколько квартир купленных в ипотеку; аренда в основном уходит в ипотеку и на ремонт
hub_landlord_3,terminal,legit,false,арендодатель (комнаты студентам),Лариса сдаёт дом с комнатами студентам и одиночкам; тратит на коммуналку аптеку и внука
hub_landlord_4,terminal,legit,false,арендодатель (удалённый),Серик сдаёт несколько квартир и комнат через сестру; копит и в июле покупает машину у перекупа; немного USDT
hub_phone_shop,consolidator,legit,false,магазин телефонов,Ержан продаёт телефоны и аксессуары в ТЦ; платит дистрибьютору и аренду ТЦ
