handle,functional_role,involvement,is_known,archetype,note
c1_op_tima,coordinator,criminal,false,оператор магазина,"получает выручку с карт-сборщиков, раз в неделю (обычно в воскресенье, часть задерживает до понедельника-вторника) платит закладчикам веером, платит оптовику и выводит через P2P"
c1_op_reserve_kanat,transit,criminal,false,резервная карта оператора,"карта двоюродного брата оператора: принимает с дропов когда у оператора лимит, гонит в P2P и за машину, оставляет себе на жизнь"
c1_curator_marat,distributor,criminal,false,куратор закладчиков,"получает от оператора на расходники, берёт штрафы, раздаёт премии закладчикам, покупает им телефоны"
c1_fasovshik_gena,peripheral,criminal,false,фасовщик,"получает недельную оплату от оператора и тратит на жизнь"
c1_drop_askar,transit,criminal,false,карта-сборщик,"дроп-карта 26 июня - 6 июля; принимает выручку закладчиков и опт, в тот же или на следующий день гонит оператору"
c1_drop_beka,transit,criminal,true,карта-сборщик,"дроп-карта 1-12 июля (студент продал карту); гонит оператору и на резервную карту, держит ~7% себе"
c1_drop_nazerke,transit,criminal,false,карта-сборщик,"дроп-карта 6-15 июля; переводит оператору и резерву за 1-2 дня"
c1_drop_yerzhan,transit,criminal,false,карта-сборщик,"дроп-карта 13-22 июля; с неё же заплатил свою аренду"
c1_drop_zarina,transit,criminal,false,карта-сборщик,"дроп-карта 16-26 июля; держала деньги по 3-4 дня и присвоила часть (телефон и мебель), после чего карту бросили"
c1_drop_temirlan,transit,criminal,false,карта-сборщик,"дроп-карта 22-31 июля; быстрый пропуск оператору в день поступления"
c1_drop_aruzhan,transit,criminal,false,карта-сборщик,"дроп-карта с 27 июля по начало августа"
c1_zk_aliya,peripheral,criminal,true,закладчик,"получает оплату за клады, сдаёт на текущую дроп-карту, делит аренду с соседкой, помогает маме"
c1_zk_dias,peripheral,criminal,true,закладчик,"студент 19 лет; один раз отправил выручку на старую карту после смены"
c1_zk_erlan,peripheral,criminal,true,закладчик,"закладчик и одновременно подрабатывает на мойке брата"
c1_zk_bekzat,peripheral,criminal,true,закладчик,"самый активный закладчик; содержит жену, ставки, внёс залог за машину"
c1_zk_dana,peripheral,criminal,true,закладчик,"закладчица, пара с Санжаром; переводы туда-обратно"
c1_zk_sanzhar,peripheral,criminal,true,закладчик,"закладчик, платит аренду за двоих, помогает отцу"
c1_zk_arman,peripheral,criminal,true,закладчик,"платит штрафы куратору за ненаходы, одалживает другу"
c1_zk_yerkebulan,peripheral,criminal,true,закладчик,"выручку сдаёт наличными и через другой банк; внутри банка только мелочь - виден только как получатель"
c1_zk_madina,peripheral,criminal,true,закладчик,"новенькая с середины июля; отправляет только мелкие суммы и в другой банк"
c1_zk_asel,peripheral,criminal,true,закладчик,"начала 24 июля; первую зарплату и первую сдачу выручки успела только в августе"
c1_zk_timur,peripheral,criminal,true,закладчик,"закладчик; ошибся номером карты и получил возврат; помогает маме"
c1_zk_nursultan,peripheral,criminal,true,закладчик,"сам покупает USDT у P2P-трейдера на свои деньги, выкупил цепочку из ломбарда"
c1_zk_ruslan,consolidator,criminal,true,старший закладчик,"собирает выручку трёх младших закладчиков и одной суммой сдаёт на дроп-карту, оставляя себе процент"
c1_zk_zhanibek,peripheral,criminal,true,закладчик,"закладчик, много ездит на такси"
c1_zk_aibek,peripheral,criminal,false,закладчик,"сдаёт выручку на дроп-карты, получает зарплату от оператора"
c1_zk_kairat,peripheral,criminal,false,закладчик,"сдаёт выручку на дроп-карты, снимает комнату"
c1_zk_miras,peripheral,criminal,false,закладчик,"сдаёт выручку на дроп-карты"
c1_zk_olzhas,peripheral,criminal,false,закладчик,"сдаёт выручку на дроп-карты, помогает отцу"
c1_zk_ayan,peripheral,criminal,false,закладчик,"сдаёт выручку на дроп-карты"
c1_zk_daniyar,peripheral,criminal,false,закладчик,"сдаёт выручку на дроп-карты, платит аренду"
c1_zk_samat,peripheral,criminal,false,закладчик,"часть недель сдаёт через старшего Руслана"
c1_zk_akbota,peripheral,criminal,false,закладчик,"сдаёт выручку на дроп-карты"
c1_zk_islam,peripheral,criminal,false,закладчик,"сдаёт выручку на дроп-карты"
c1_zk_vlad,peripheral,criminal,false,закладчик,"сдаёт выручку через старшего Руслана"
c1_zk_ilyas,peripheral,criminal,false,закладчик,"сдаёт выручку через старшего Руслана"
c1_zk_adil,peripheral,criminal,false,закладчик,"ушёл в середине июля, последнюю выручку не сдал и потратил на телефон"
c1_op_mother_gulnara,terminal,legit,false,мать оператора,"получает от сына деньги на жизнь, тратит на продукты и сестре"
c1_gulnara_sister_bayan,peripheral,legit,false,тётя оператора,"готовит той внуку, платит тойхане"
c1_bayan_grandson_alikhan,peripheral,legit,false,родственник,"студент, карманные расходы"
c1_op_gf_kamila,terminal,legit,false,девушка оператора,"получает крупные суммы от оператора и тратит на салон, мебель, одежду"
c1_kamila_sister_aida,peripheral,legit,false,сестра девушки оператора,"оплачивает курсы"
c1_kanat_wife_zhibek,peripheral,legit,false,жена номинала резервной карты,"продукты и аптека"
c1_marat_wife_dinara,peripheral,legit,false,жена куратора,"хозяйство и помощь маме"
c1_dinara_mother_raisa,peripheral,legit,false,пенсионерка,"аптека и продукты"
c1_gena_mother_tatyana,peripheral,legit,false,пенсионерка,"аптека и коммуналка"
c1_aliya_flatmate_zhanar,peripheral,legit,false,соседка по квартире,"офисная работа; собирает половину аренды с Алии и платит хозяйке"
c1_zhanar_bf_daulet,peripheral,legit,false,парень соседки,"спортзал, помогает брату"
c1_daulet_brother_askhat,peripheral,legit,false,автолюбитель,"запчасти"
c1_aliya_mother_roza,peripheral,legit,false,мать закладчицы,"пенсионерка, продукты, помогает сестре"
c1_roza_sister_gulzhan,peripheral,legit,false,тётя,"готовит той, помогает сыну"
c1_gulzhan_son_nurbol,peripheral,legit,false,двоюродный брат,"купил телефон"
c1_dias_mother_saule,peripheral,legit,false,мать закладчика,"учитель, помогает сестре"
c1_saule_sister_raushan,peripheral,legit,false,тётя,"платит за репетиторов сына"
c1_raushan_son_ernar,peripheral,legit,false,школьник,"телефон и спортзал"
c1_dias_friend_akzhol,peripheral,legit,false,друг закладчика,"одолжил Диасу, получил долг назад"
c1_akzhol_sister_aruna,peripheral,legit,false,сестра друга,"салон и продукты"
c1_erlan_brother_bolat,distributor,legit,false,владелец автомойки,"легальный работодатель: еженедельно платит зарплату мойщикам веером"
c1_carwash_w_nurzhan,peripheral,legit,false,мойщик,"зарплата с мойки, аренда, мама"
c1_carwash_w_bauyrzhan,peripheral,legit,false,мойщик,"зарплата с мойки"
c1_carwash_w_sergey,peripheral,legit,false,мойщик,"зарплата с мойки"
c1_carwash_w_yerassyl,peripheral,legit,false,мойщик,"зарплата с мойки"
c1_carwash_w_kuat,peripheral,legit,false,мойщик,"зарплата с мойки, выкуп из ломбарда"
c1_nurzhan_mother_bibigul,peripheral,legit,false,пенсионерка,"аптека и продукты"
c1_bekzat_wife_aigerim,peripheral,legit,false,жена закладчика,"ведёт хозяйство, садик, кредит, помогает маме"
c1_aigerim_mother_klara,peripheral,legit,false,тёща закладчика,"аптека, помогает сыну"
c1_klara_son_marlen,peripheral,legit,false,шурин закладчика,"спортзал, девушка"
c1_marlen_gf_tomiris,peripheral,legit,false,девушка,"салон"
c1_dana_sister_zhuldyz,peripheral,legit,false,сестра закладчицы,"курсы"
c1_sanzhar_father_yerbol,peripheral,legit,false,отец закладчика,"строитель, отдаёт долг брату"
c1_yerbol_brother_serikbay,peripheral,legit,false,дядя,"ломбард, помогает дочери"
c1_serikbay_daughter_ainur,peripheral,legit,false,студентка,"салон и кафе"
c1_arman_friend_yerlan,peripheral,legit,false,друг закладчика,"занял и вернул, помогает маме"
c1_yerlan_mother_sholpan,peripheral,legit,false,мать друга,"продукты, одолжила соседке"
c1_sholpan_neighbor_valentina,peripheral,legit,false,соседка,"пенсионерка"
c1_timur_mother_lyazzat,peripheral,legit,false,мать закладчика,"аренда, помогает дочери"
c1_lyazzat_daughter_moldir,peripheral,legit,false,сестра закладчика,"студентка, билеты на концерт с подругой"
c1_moldir_friend_saltanat,peripheral,legit,false,подруга,"кафе, брату"
c1_saltanat_brother_dauren,peripheral,legit,false,брат подруги,"продукты"
c1_nursultan_brother_azamat,peripheral,legit,false,брат закладчика,"школьник, подготовка к ЕНТ"
c1_azamat_classmate_beibit,peripheral,legit,false,одноклассник,"кафе"
c1_ruslan_gf_diana,peripheral,legit,false,девушка закладчика,"салон, помогает маме"
c1_diana_mother_elmira,peripheral,legit,false,мать,"продукты, сыну"
c1_elmira_son_arsen,peripheral,legit,false,школьник,"телефон"
c1_zhanibek_cousin_nurik,peripheral,legit,false,двоюродный брат,"рынок"
c1_taxi_driver_nurlan,consolidator,legit,false,таксист,"частный таксист: за поездки платят многие клиенты (в том числе закладчики), платит аренду машины таксопарку"
c1_nurlan_wife_asem,peripheral,legit,false,жена таксиста,"продукты, помогает маме"
c1_asem_mother_zaure,peripheral,legit,false,пенсионерка,"продукты"
c1_aibek_mother_bakyt,peripheral,legit,false,мать закладчика,"продукты"
c1_miras_sister_aizhan,peripheral,legit,false,сестра закладчика,"студентка"
c1_olzhas_father_temir,peripheral,legit,false,отец закладчика,"ремонт машины"
c1_daniyar_gf_aisulu,peripheral,legit,false,девушка закладчика,"салон"
c1_akbota_mother_gaukhar,peripheral,legit,false,мать закладчицы,"продукты"
c1_vlad_mother_irina,peripheral,legit,false,мать закладчика,"аптека"
c1_raisa_son_bakhyt,peripheral,legit,false,брат жены куратора,"ремонт машины"
c1_aida_classmate_togzhan,peripheral,legit,false,однокурсница,"делят оплату курса"
c1_arsen_friend_bekarys,peripheral,legit,false,школьник,"друг"
c1_tatyana_neighbor_lyudmila,peripheral,legit,false,соседка пенсионерка,"заняла у соседки на лекарства"
